h,k,l,intensity_exp,error
-1,4,9,285.02567602027,0
0,-4,-10,1130.6560183466177,0
0,-4,-8,1020.6535125301868,0
0,-4,-6,141.34274234986424,0
0,-4,-4,1111.3466752560762,0
0,-4,-2,919.709874263771,0
0,-4,0,4367.176464009986,0
0,-4,2,746.8732068540161,0
0,-4,4,1652.8072783762955,0
0,-4,8,2818.197875912965,0
0,-4,10,528.6895574302519,0
0,-3,-9,234.1425775282854,0
0,-3,-7,556.2376220141557,0
0,-3,-5,4488.911928619291,0
0,-3,-3,4982.5970985627355,0
0,-3,-1,2160.799203260727,0
0,-3,1,1530.075463431241,0
0,-3,3,3974.594779977035,0
0,-3,5,4498.030441896254,0
0,-3,7,1084.6676699070103,0
0,-2,-10,553.6838005543858,0
0,-2,-8,6027.207801199429,0
0,-2,-6,818.6368997162144,0
0,-2,-4,4439.363519583186,0
0,-2,-2,3444.884327486516,0
0,-2,0,26915.858751399992,0
0,-2,2,1664.694239052619,0
0,-2,4,3093.353309370852,0
0,-2,6,727.0461984071,0
0,-2,8,3209.2812008008787,0
0,-1,-9,929.3690893972255,0
0,-1,-7,2984.0881628033153,0
0,-1,-5,8679.546265294703,0
0,-1,-3,8796.684507812055,0
0,-1,-1,4934.198107182815,0
0,-1,1,6594.159145057642,0
0,-1,3,10538.488110967983,0
0,-1,5,8817.737750187824,0
0,-1,7,2202.7450420319483,0
0,-1,9,744.3491725660695,0
0,0,-10,1174.9235608280069,0
0,0,-8,7177.6065637655365,0
0,0,-6,1265.9677872659354,0
0,0,-4,8032.335476969977,0
0,0,4,6691.3910176827885,0
0,0,6,1063.5523193554498,0
0,0,8,7508.388803921588,0
0,0,10,1592.832989371863,0
0,1,-9,962.3268072785952,0
0,1,-7,2888.996735105104,0
0,1,-5,8674.705572088009,0
0,1,-3,5742.673623980538,0
0,1,-1,4600.080953800557,0
0,1,1,7012.189583545124,0
0,1,3,9596.08687309087,0
0,1,5,13935.657343839373,0
0,1,7,2792.1629026880382,0
0,1,9,1304.1191352393241,0
0,2,-10,288.43012936285777,0
0,2,-8,5014.890295406688,0
0,2,-6,629.6364709411148,0
0,2,-4,3684.7497593113535,0
0,2,-2,1856.3527509888252,0
0,2,0,17328.541951800667,0
0,2,2,3416.625722154941,0
0,2,4,5044.749452122177,0
0,2,6,764.2908252906534,0
